sn	de	fe
1	0.109156407	0.06554
2	0.542046028	0.390774545
3	-0.051979242	0.103549091
4	-0.409011657	-0.133134545
5	0.288647226	-0.311263636
6	0.313987106	-0.30058
7	-0.378148982	-0.004314545
8	-0.214414371	0.158610909
9	0.420544551	0.26442
10	0.3195099	0.059170909
11	-0.185663353	0.066978182
12	-0.088527146	-0.221685455
13	0.110943194	0.000410909
14	-0.048892974	0.451589091
15	-0.26947988	0.093892727
16	-0.299205509	0.101289091
17	0.067410579	0.069443636
18	0.135795768	-0.154090909
19	-0.068060319	-0.066567273
20	-0.06237509	0.146489091
21	-0.08803984	0.017052727
22	0.027613972	0.043967273
23	0.178028902	0.05876
24	0.120526866	-0.118547273
25	-0.06302483	0.159638182
26	-0.08706523	-0.011916364
27	0.042882874	-0.114849091
28	-0.056852295	-0.09266
29	-0.109968583	-0.315372727
30	-0.037197645	-0.226205455
31	-0.017218124	0.076634545
32	0.003411138	0.367558182
33	0.066760838	0.318043636
34	0.109318842	0.279007273
35	-0.014781597	0.159638182
36	-0.096973772	-0.041090909
37	-0.082517046	-0.256612727
38	-0.016243513	-0.251270909
39	0.008446627	0.054650909
40	-0.191348583	-0.062663636
41	-0.145704311	-0.149776364
42	0.314799281	-0.018285455
43	0.290434012	0.104987273
44	-0.252099321	0.157172727
45	-0.205480439	0.15368
46	0.214739242	0.106425455
47	0.154800679	-0.109301818
48	-0.098760559	-0.04294
49	0.119227385	0.109507273
50	0.143592655	0.167650909
51	0.165846267	0.127998182
52	0.543832814	0.141969091
53	-0.449782874	0.337150909
54	-1.12031509	0.250654545
55	-0.067573014	-0.039858182
56	0.7384301	-0.280445455
57	0.265581437	-0.143201818
58	-0.360281118	-0.079305455
59	0.203856088	0.084236364
60	0.45027018	0.453849091
61	0.076182076	0.044789091
62	-0.473011098	-0.187374545
63	-0.70708012	-0.254147273
64	0.358331896	-0.411114545
65	0.931078164	0.027530909
66	-0.0934002	0.448918182
67	-0.396504152	0.373927273
68	0.504848383	0.417894545
69	0.467325868	0.207098182
70	-0.221236647	-0.559452727
71	-0.357844591	-0.379885455
72	-0.208079401	-0.168883636
73	-0.123938004	-0.052185455
74	0.135958204	0.223534545
75	0.018192735	0.253941818
76	-0.416321238	0.297498182
77	-0.050192455	0.322358182
78	0.455143234	0.627869091
79	-0.009421238	0.133545455
80	-0.559913892	-0.147105455
81	0.061887784	-0.137243636
82	0.596624232	-0.234834545
83	-0.057989341	-0.112794545
84	-0.342900559	-0.293389091
85	0.292870539	0.116492727
86	0.246738962	0.149570909
87	-0.148790579	-0.103549091
88	0.228058922	-0.202372727
89	0.329905749	-0.368174545
90	-0.165358962	0.130258182
91	-0.124262874	0.47912
92	0.099247864	0.262981818
93	-0.166496008	0.087318182
94	-0.105257964	-0.008012727
95	0.084303832	-0.238532727
96	-0.155937725	0.234423636
97	-0.341925948	0.452410909
98	0.104933094	-0.055883636
99	0.341925948	-0.064307273
100	-0.185663353	-0.050541818
